Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2021-01-01,29374.15234375,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359
2021-01-02,32127.267578125,32127.267578125,33155.1171875,29091.181640625,29376.455078125,67865420765
2021-01-03,32782.0234375,32782.0234375,34608.55859375,32052.31640625,32129.408203125,78665235202
2021-01-04,31971.9140625,31971.9140625,33440.21875,28722.755859375,32810.94921875,81163475344
2021-01-05,33992.4296875,33992.4296875,34437.58984375,30221.1875,31977.041015625,67547324782
2021-01-06,36824.36328125,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811
2021-01-07,39371.04296875,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031
2021-01-08,40797.609375,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480
2021-01-09,40254.546875,40254.546875,41436.3515625,38980.875,40788.640625,61984162837
2021-01-10,38356.44140625,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690
2021-01-11,35566.65625,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399
2021-01-12,33922.9609375,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909
2021-01-13,37316.359375,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979
2021-01-14,39187.328125,39187.328125,39966.40625,36868.5625,37325.109375,63615990033
2021-01-15,36825.3671875,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881
2021-01-16,36178.140625,36178.140625,37864.3671875,35633.5546875,36821.6484375,57706187875
2021-01-17,35791.27734375,35791.27734375,36722.3515625,34069.3203125,36163.6484375,52359854336
2021-01-18,36630.07421875,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429
2021-01-19,36069.8046875,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486
2021-01-20,35547.75,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161
2021-01-21,30825.69921875,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688
2021-01-22,33005.76171875,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511
2021-01-23,32067.642578125,32067.642578125,33360.9765625,31493.16015625,32985.7578125,48354737975
2021-01-24,32289.37890625,32289.37890625,32944.0078125,31106.685546875,32064.376953125,48643830599
2021-01-25,32366.392578125,32366.392578125,34802.7421875,32087.787109375,32285.798828125,59897054838
2021-01-26,32569.849609375,32569.849609375,32794.55078125,31030.265625,32358.61328125,60255421470
